USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_SQL_score,req_Microsoft Power BI_score,req_Databricks_score,req_DAX_score,req_Matillion ETL_score,lang_English_score,lang_French_score,pref_Cloudera Data Platform_score,normalized_lang_score,normalized_req_score,normalized_pref_score,availability_score,similarity_score,unmatched_skills_score,experience_score,Candidate_score
2433124,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,75.0,64.2,0.8,30,40.88
2433852,13,1,6,240.0,270.0,0.0,140.0,0.0,240.0,0.0,0.0,40.0,50.0,0.0,50.0,68.4,5.0,30,40.76
2433141,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,100.0,53.2,0.0,30,40.48
2433139,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,100.0,51.4,0.0,30,40.21
2634865,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,72.91666666666667,60.2,0.0,30,40.18
2480827,13,1,6,180.0,240.0,0.0,120.0,0.0,270.0,0.0,0.0,45.0,41.5,0.0,97.91666666666667,53.8,2.0,30,39.84
2447137,13,1,6,0.0,210.0,0.0,0.0,0.0,180.0,300.0,0.0,80.0,16.2,0.0,75.0,53.1,3.0,30,39.26
2662823,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,100.0,44.3,0.0,30,39.14
2433083,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,50.0,71.4,6.5,30,38.71
3072774,13,1,6,150.0,0.0,0.0,0.0,0.0,270.0,300.0,0.0,95.0,11.5,0.0,75.0,68.9,0.6,10,38.46
2533337,13,1,6,150.0,0.0,0.0,40.0,0.0,150.0,300.0,0.0,75.0,14.6,0.0,75.0,53.7,1.8,30,37.96
2447672,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,97.91666666666667,50.3,0.0,30,37.94
2442934,13,1,6,240.0,150.0,0.0,0.0,0.0,240.0,0.0,0.0,40.0,30.0,0.0,75.0,72.1,1.9,30,37.56
2713733,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,90.0,0.0,0.0,75.0,55.1,0.0,30,37.52
2443771,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,50.0,48.4,1.3,30,37.26
2447527,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,97.91666666666667,43.7,0.0,30,36.95
2689959,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,77.08333333333333,37.0,0.0,30,36.9
2432194,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,50.0,45.2,0.0,30,36.78
2446130,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,97.91666666666667,40.6,8.7,30,36.49
2456839,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,75.0,45.9,2.3,30,36.14
2501164,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,72.91666666666667,30.8,0.5,30,35.77
2817191,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,52.083333333333336,70.6,0.0,10,35.69
2599691,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,50.0,46.3,0.0,30,34.94
2571584,13,1,6,0.0,0.0,0.0,0.0,0.0,210.0,300.0,0.0,85.0,0.0,0.0,75.0,37.3,0.0,30,33.84
2841644,13,1,6,0.0,0.0,0.0,0.0,0.0,270.0,300.0,0.0,95.0,0.0,0.0,75.0,40.7,0.0,10,31.36
