USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_Spark_score,req_Python_score,req_Scala_score,req_Microsoft Azure Data Factory_score,req_Databricks_score,lang_French_score,lang_English_score,pref_Cloudera Data Platform_score,pref_Data Galaxy_score,normalized_lang_score,normalized_req_score,normalized_pref_score,availability_score,similarity_score,Candidate_score
2634865,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,72.5,60.2,42.3
2662823,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,100.0,44.3,41.08
2450849,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,100.0,43.1,40.78
2447672,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,97.5,50.3,40.33
2475141,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,97.5,42.2,40.3
2513831,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,0.0,0.0,75.0,65.8,39.95
2713733,13,2,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,0.0,90.0,0.0,0.0,75.0,55.1,39.28
2433130,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,76.1,39.02
2501974,13,2,6,0.0,90.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,6.9,0.0,50.0,47.3,38.89
2708864,13,2,6,0.0,90.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,6.9,0.0,50.0,63.2,38.87
2446382,13,2,6,0.0,180.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,13.8,0.0,72.5,45.5,38.76
2457327,13,2,6,0.0,240.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,18.5,0.0,0.0,52.7,38.72
2533337,13,2,6,0.0,120.0,0.0,0.0,0.0,300.0,150.0,0.0,0.0,75.0,9.2,0.0,75.0,53.7,38.68
2433109,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,50.0,62.7,38.67
2447527,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,97.5,43.7,38.67
2446130,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,100.0,40.6,38.15
2444211,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,72.2,38.05
2433125,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,50.0,51.2,37.8
2445183,13,2,6,0.0,0.0,0.0,120.0,0.0,300.0,300.0,0.0,0.0,100.0,9.2,0.0,0.0,58.0,37.26
2449548,13,2,6,0.0,150.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,11.5,0.0,0.0,71.1,37.22
2443771,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,50.0,48.4,37.1
2689959,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,77.5,37.0,37.0
2456839,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,75.0,45.9,36.98
2533338,13,2,6,0.0,90.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,6.9,0.0,0.0,75.0,36.82
2447137,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,0.0,0.0,75.0,53.1,36.78
2841644,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,270.0,0.0,0.0,95.0,0.0,0.0,75.0,40.7,36.67
2445156,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,66.3,36.58
2453233,13,2,6,0.0,240.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,18.5,0.0,0.0,43.6,36.45
2432194,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,50.0,45.2,36.3
2700124,13,2,6,0.0,150.0,120.0,120.0,0.0,180.0,240.0,0.0,0.0,70.0,30.0,0.0,0.0,52.3,36.08
2920938,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,40.0,0.0,0.0,52.5,89.9,35.72
2433114,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,61.7,35.42
2501164,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,72.5,30.8,34.95
2599691,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,50.0,46.3,34.58
2443208,13,2,6,0.0,300.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,23.1,0.0,0.0,46.2,34.48
2433144,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,50.0,37.8,34.45
2451715,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,56.3,34.08
2843838,13,2,6,0.0,240.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,18.5,0.0,0.0,34.0,34.05
2571584,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,210.0,0.0,0.0,85.0,0.0,0.0,75.0,37.3,33.83
2766619,13,2,6,0.0,0.0,0.0,160.0,0.0,300.0,240.0,0.0,0.0,90.0,12.3,0.0,0.0,47.8,33.64
2442934,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,40.0,0.0,0.0,75.0,72.1,33.52
2449781,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,53.9,33.48
2552838,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,0.0,0.0,0.0,66.5,32.62
2645516,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,50.2,32.55
2480827,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,45.0,0.0,0.0,100.0,53.8,32.45
2446029,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,48.8,32.2
2978961,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,50.0,0.0,0.0,75.0,57.7,31.92
2818577,13,2,6,0.0,150.0,0.0,60.0,0.0,300.0,180.0,0.0,0.0,80.0,16.2,0.0,0.0,42.5,31.48
2535513,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,44.5,31.12
2895177,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,82.1,30.52
2433852,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,40.0,0.0,0.0,50.0,68.4,30.1
2445187,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,0.0,46.8,29.7
2433135,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,36.6,29.15
2433099,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,0.0,40.5,28.12
2449639,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,0.0,0.0,0.0,46.2,27.55
2503861,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,45.0,0.0,0.0,75.0,44.0,27.5
2479537,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,270.0,0.0,0.0,95.0,0.0,0.0,0.0,33.2,27.3
2726335,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,76.2,26.8
2433092,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,0.0,90.0,0.0,0.0,0.0,34.4,26.6
2936770,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,76.0,26.25
2708468,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,73.9,25.98
2451833,13,2,6,0.0,0.0,0.0,0.0,0.0,300.0,180.0,0.0,0.0,80.0,0.0,0.0,0.0,39.4,25.85
2789583,13,2,6,0.0,180.0,0.0,40.0,0.0,300.0,300.0,0.0,0.0,100.0,16.9,0.0,0.0,0.0,25.07
2977311,13,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,55.8,23.7
