USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_R_score,req_Atlassian JIRA Software_score,req_Microsoft Power BI_score,lang_French_score,lang_English_score,normalized_lang_score,normalized_req_score,normalized_pref_score,availability_score,similarity_score,Candidate_score
2453233,9,0,5,160.0,0.0,200.0,300.0,200.0,100.0,40.0,0.0,0.0,43.6,42.9
2817191,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,52.5,70.6,42.9
2433139,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,51.4,42.85
2634865,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,72.5,60.2,42.3
2443989,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,49.0,42.25
2443208,9,0,5,200.0,0.0,200.0,300.0,120.0,84.0,44.4,0.0,0.0,46.2,41.67
2708864,9,0,5,0.0,0.0,120.0,300.0,120.0,84.0,13.3,0.0,50.0,63.2,41.59
2433143,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,75.0,55.9,41.48
2433114,9,0,5,0.0,180.0,0.0,300.0,200.0,100.0,20.0,0.0,0.0,61.7,41.42
2433083,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,50.0,71.4,41.25
2895177,9,0,5,0.0,140.0,180.0,0.0,0.0,0.0,35.6,0.0,100.0,82.1,41.2
2662823,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,44.3,41.08
2447672,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,97.5,50.3,40.72
2457327,9,0,5,0.0,0.0,200.0,300.0,200.0,100.0,22.2,0.0,0.0,52.7,39.84
2447527,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,97.5,43.7,39.08
2433130,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,0.0,76.1,39.02
2713733,9,0,5,0.0,0.0,0.0,240.0,200.0,88.0,0.0,0.0,75.0,55.1,38.88
2533338,9,0,5,0.0,0.0,100.0,300.0,120.0,84.0,11.1,0.0,0.0,75.0,38.88
2456839,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,75.0,45.9,37.38
2443771,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,50.0,48.4,37.1
2689959,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,77.5,37.0,37.0
2533337,9,0,5,0.0,0.0,0.0,300.0,100.0,80.0,0.0,0.0,75.0,53.7,36.92
2841644,9,0,5,0.0,0.0,0.0,300.0,180.0,96.0,0.0,0.0,75.0,40.7,36.88
2445156,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,0.0,66.3,36.58
2645516,9,0,5,0.0,0.0,120.0,300.0,200.0,100.0,13.3,0.0,0.0,50.2,36.54
2432194,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,50.0,45.2,36.3
2480827,9,0,5,0.0,0.0,160.0,0.0,180.0,36.0,17.8,0.0,100.0,53.8,35.99
2978961,9,0,5,0.0,0.0,180.0,0.0,200.0,40.0,20.0,0.0,75.0,57.7,35.92
2766619,9,0,5,0.0,0.0,160.0,300.0,160.0,92.0,17.8,0.0,0.0,47.8,35.69
2442934,9,0,5,0.0,0.0,100.0,0.0,160.0,32.0,11.1,0.0,75.0,72.1,35.25
2599691,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,50.0,46.3,34.98
2501164,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,72.5,30.8,34.95
2449548,9,0,5,0.0,0.0,0.0,300.0,120.0,84.0,0.0,0.0,0.0,71.1,34.58
2433852,9,0,5,0.0,0.0,180.0,0.0,160.0,32.0,20.0,0.0,50.0,68.4,34.5
2433144,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,50.0,37.8,34.45
2571584,9,0,5,0.0,0.0,0.0,300.0,140.0,88.0,0.0,0.0,75.0,37.3,34.42
2920938,9,0,5,0.0,0.0,0.0,0.0,160.0,32.0,0.0,0.0,52.5,89.9,34.12
2451715,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,0.0,56.3,34.08
2433099,9,0,5,0.0,160.0,0.0,300.0,160.0,92.0,17.8,0.0,0.0,40.5,33.86
2535513,9,0,5,40.0,0.0,40.0,300.0,200.0,100.0,8.9,0.0,0.0,44.5,33.8
2433092,9,0,5,0.0,200.0,0.0,300.0,160.0,92.0,22.2,0.0,0.0,34.4,33.66
2449781,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,0.0,53.9,33.48
2552838,9,0,5,0.0,0.0,0.0,300.0,120.0,84.0,0.0,0.0,0.0,66.5,33.42
2818577,9,0,5,40.0,20.0,120.0,300.0,120.0,84.0,20.0,0.0,0.0,42.5,33.42
2446029,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,0.0,48.8,32.2
2451833,9,0,5,0.0,0.0,120.0,300.0,120.0,84.0,13.3,0.0,0.0,39.4,30.64
2445187,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,0.0,46.8,30.1
2700124,9,0,5,0.0,0.0,100.0,180.0,160.0,68.0,11.1,0.0,0.0,52.3,30.0
2433135,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,0.0,36.6,29.15
2843838,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,0.0,34.0,28.5
2449639,9,0,5,0.0,0.0,0.0,300.0,120.0,84.0,0.0,0.0,0.0,46.2,28.35
2479537,9,0,5,0.0,0.0,0.0,300.0,180.0,96.0,0.0,0.0,0.0,33.2,27.5
2726335,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,76.2,26.8
2936770,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,76.0,26.25
2708468,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,73.9,25.98
2503861,9,0,5,0.0,0.0,0.0,0.0,180.0,36.0,0.0,0.0,75.0,44.0,25.7
2789583,9,0,5,0.0,0.0,120.0,300.0,200.0,100.0,13.3,0.0,0.0,0.0,23.99
2977311,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,55.8,23.7
2471586,9,0,5,0.0,0.0,0.0,300.0,0.0,60.0,0.0,0.0,100.0,0.0,22.0
2664664,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,46.5,21.62
2448418,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,0.0,0.0,18.4
2683916,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,43.1,15.78
2903451,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,14.8
2976032,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.7,14.18
2634429,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9,12.98
2693756,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,12.7
2957009,9,0,5,0.0,0.0,0.0,0.0,200.0,40.0,0.0,0.0,0.0,15.2,11.8
2437177,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1,11.52
2967233,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,9.5
2799951,9,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,7.5
