USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_SQL_score,req_Microsoft Power BI_score,req_Databricks_score,req_DAX_score,req_Matillion ETL_score,lang_English_score,lang_French_score,pref_Cloudera Data Platform_score,normalized_lang_score,normalized_req_score,normalized_pref_score,availability_score,similarity_score,Candidate_score
2444211,13,1,6,0.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,23.1,0.0,0.0,72.2,44.98
2480827,13,1,6,180.0,240.0,0.0,120.0,0.0,270.0,0.0,0.0,45.0,41.5,0.0,100.0,53.8,44.9
2671704,13,1,6,150.0,0.0,120.0,0.0,0.0,240.0,300.0,0.0,90.0,20.8,0.0,100.0,41.2,44.54
2725267,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,100.0,57.1,44.28
2433140,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,97.5,57.2,44.05
2502347,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,77.5,63.8,43.7
2433124,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,75.0,64.2,43.55
2433125,13,1,6,0.0,240.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,18.5,0.0,50.0,51.2,43.35
2433141,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,100.0,53.2,43.3
2817191,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,52.5,70.6,42.9
2433139,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,100.0,51.4,42.85
2442934,13,1,6,240.0,150.0,0.0,0.0,0.0,240.0,0.0,0.0,40.0,30.0,0.0,75.0,72.1,42.52
2634865,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,72.5,60.2,42.3
2645516,13,1,6,240.0,180.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,32.3,0.0,0.0,50.2,42.24
2533338,13,1,6,120.0,150.0,0.0,40.0,0.0,180.0,300.0,0.0,80.0,23.8,0.0,0.0,75.0,41.89
2447137,13,1,6,0.0,210.0,0.0,0.0,0.0,180.0,300.0,0.0,80.0,16.2,0.0,75.0,53.1,41.64
2443208,13,1,6,300.0,300.0,0.0,0.0,0.0,180.0,300.0,0.0,80.0,46.2,0.0,0.0,46.2,41.41
2433144,13,1,6,300.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,23.1,0.0,50.0,37.8,41.38
2662823,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,100.0,44.3,41.08
2433114,13,1,6,240.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,18.5,0.0,0.0,61.7,40.98
2433083,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,50.0,71.4,40.85
2447672,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,97.5,50.3,40.33
2533337,13,1,6,150.0,0.0,0.0,40.0,0.0,150.0,300.0,0.0,75.0,14.6,0.0,75.0,53.7,40.3
2895177,13,1,6,0.0,270.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,31.5,0.0,100.0,82.1,39.97
2451715,13,1,6,240.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,18.5,0.0,0.0,56.3,39.62
2713733,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,240.0,0.0,90.0,0.0,0.0,75.0,55.1,39.28
2433130,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,0.0,76.1,39.02
2447527,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,97.5,43.7,38.67
2978961,13,1,6,0.0,270.0,0.0,0.0,0.0,300.0,0.0,0.0,50.0,20.8,0.0,75.0,57.7,38.17
2446130,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,100.0,40.6,38.15
2700124,13,1,6,240.0,150.0,0.0,80.0,0.0,240.0,180.0,0.0,70.0,36.2,0.0,0.0,52.3,37.94
2766619,13,1,6,0.0,240.0,0.0,0.0,100.0,240.0,300.0,0.0,90.0,26.2,0.0,0.0,47.8,37.81
2443771,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,50.0,48.4,37.1
2689959,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,77.5,37.0,37.0
2456839,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,75.0,45.9,36.98
2841644,13,1,6,0.0,0.0,0.0,0.0,0.0,270.0,300.0,0.0,95.0,0.0,0.0,75.0,40.7,36.67
2445156,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,0.0,66.3,36.58
